state,species_count,latitude,longitude
Australian Capital Territory,6611,-35.3,149.1
New South Wales,32207,-32,147
Northern Territory,12407,-19.5,133.5
Queensland,40609,-22.5,144.5
South Australia,13748,-30,135
Tasmania,12467,-42,146.5
Victoria,19322,-37,144.5
Western Australia,22832,-25,122

